ESTADO,POTÊNCIA,N_MOD,PESO_TOTAL,VIDRO,ALUMÍNIO,EVA,SILÍCIO,POLÍMERO,CABOS (Cu e Polimeros),CONDUTOR AL (Interno),CONDUTOR CU (Interno),CHUMBO E ESTANHO,PRATA,SISTEMAS,LATITUDE,LONGITUDE
AC,63120,112865,3444390.0,2411.07,619.99,175.66,125.72,51.67,34.44,18.26,3.79,1.83,1.83,5029,-8.77,-70.55
AL,258789,481056,14495520.0,10146.87,2609.19,739.27,529.09,217.43,144.96,76.83,15.95,7.68,7.68,22586,-9.62,-36.82
AM,142502,341676,9228710.0,6460.1,1661.17,470.66,336.85,138.43,92.29,48.91,10.15,4.89,4.89,8526,-3.47,-65.1
AP,35591,111766,2604840.0,1823.39,468.87,132.85,95.08,39.07,26.05,13.81,2.87,1.38,1.38,3039,1.41,-51.77
BA,1005327,2477958,64065440.0,44845.81,11531.78,3267.34,2338.39,960.98,640.65,339.55,70.47,33.95,33.95,109585,-13.29,-41.71
CE,787812,2049079,51367350.0,35957.14,9246.12,2619.73,1874.91,770.51,513.67,272.25,56.5,27.22,27.22,68533,-5.2,-39.53
DF,293981,871029,20880460.0,14616.32,3758.48,1064.9,762.14,313.21,208.8,110.67,22.97,11.07,11.07,17212,-15.83,-47.86
ES,536734,1023021,30605280.0,21423.69,5508.95,1560.87,1117.09,459.08,306.05,162.21,33.67,16.22,16.22,42121,-19.19,-40.34
GO,1079248,2871717,72024730.0,50417.31,12964.45,3673.26,2628.9,1080.37,720.25,381.73,79.23,38.17,38.17,91724,-15.98,-49.86
MA,506333,1261540,32797620.000000004,22958.33,5903.57,1672.68,1197.11,491.96,327.98,173.83,36.08,17.38,17.38,40032,-5.42,-45.44
MG,3247991,7202576,196603040.0,137622.13,35388.55,10026.76,7176.01,2949.05,1966.03,1042.0,216.26,104.2,104.2,259142,-18.1,-44.38
MS,900618,1881936,53303940.0,37312.76,9594.71,2718.5,1945.59,799.56,533.04,282.51,58.63,28.25,28.25,80447,-20.51,-54.54
MT,1432569,2998010,84533930.0,59173.75,15216.11,4311.23,3085.49,1268.01,845.34,448.03,92.99,44.8,44.8,97198,-12.64,-55.42
PA,721848,1774722,46237060.0,32365.94,8322.67,2358.09,1687.65,693.56,462.37,245.06,50.86,24.51,24.51,63006,-3.79,-52.48
PB,339335,764788,20689550.0,14482.69,3724.12,1055.17,755.17,310.34,206.9,109.65,22.76,10.97,10.97,25987,-7.28,-36.72
PE,730305,1389473,41220520.0,28854.36,7419.69,2102.25,1504.55,618.31,412.21,218.47,45.34,21.85,21.85,67111,-8.38,-37.86
PI,422475,1212724,30099940.0,21069.96,5417.99,1535.1,1098.65,451.5,301.0,159.53,33.11,15.95,15.95,41135,-6.6,-42.28
PR,2320032,4893234,137768320.0,96437.83,24798.3,7026.18,5028.54,2066.52,1377.68,730.17,151.55,73.02,73.02,180987,-24.89,-51.55
RJ,943126,2389460,61578850.0,43105.19,11084.19,3140.52,2247.63,923.68,615.79,326.37,67.74,32.64,32.64,103109,-22.25,-42.66
RN,504195,1346781,33934110.0,23753.88,6108.14,1730.64,1238.59,509.01,339.34,179.85,37.33,17.99,17.99,50518,-5.81,-36.59
RO,249181,477959,14038910.0,9827.24,2527.0,715.98,512.42,210.58,140.39,74.41,15.44,7.44,7.44,19188,-10.83,-63.34
RR,36711,87767,2339900.0,1637.93,421.18,119.33,85.41,35.1,23.4,12.4,2.57,1.24,1.24,1987,1.99,-61.33
RS,2502416,5433175,150245480.0,105171.84,27044.19,7662.52,5483.96,2253.68,1502.45,796.3,165.27,79.63,79.63,279362,-30.17,-53.5
SC,1330571,2615888,76859150.0,53801.4,13834.65,3919.82,2805.36,1152.89,768.59,407.35,84.55,40.74,40.74,81268,-27.45,-50.95
SE,147651,294195,8539260.0,5977.48,1537.07,435.5,311.68,128.09,85.39,45.26,9.39,4.53,4.53,11474,-10.57,-37.45
SP,3254288,8037295,207510870.0,145257.61,37351.96,10583.05,7574.15,3112.66,2075.11,1099.81,228.26,109.98,109.98,345565,-22.19,-48.79
TO,318249,604846,17929510.0,12550.66,3227.31,914.4,654.43,268.94,179.3,95.03,19.72,9.5,9.5,30691,-9.46,-48.26
