ESTADO,POTÊNCIA,N_MOD,PESO_TOTAL,SISTEMAS,VIDRO,ALUMÍNIO,EVA,SILÍCIO,POLÍMERO,CABOS (Cu e Polimeros),CONDUTOR AL (Interno),CONDUTOR CU (Interno),CHUMBO E ESTANHO,PRATA,LATITUDE,LONGITUDE
BA,2042361.0,3501212,101158356,63,70810849.19999999,18208504.08,5159076.1559999995,3692279.994,1517375.3399999999,1011583.56,536139.2868,111274.1916,53613.92868,53613.92868,-13.29,-41.71
CE,793887.0,1360955,41055699,26,28738989.299999997,7390025.819999999,2093840.649,1498533.0135,615835.485,410556.99,217595.2047,45161.2689,21759.52047,21759.52047,-5.2,-39.53
GO,9125.0,15643,344146,1,240902.19999999998,61946.28,17551.446,12561.329,5162.19,3441.46,1823.9738,378.5606,182.39738,182.39738,-15.98,-49.86
MG,3540054.0,6068707,200826747,84,140578722.9,36148814.46,10242164.097,7330176.2655,3012401.205,2008267.47,1064381.7591,220909.4217,106438.17590999999,106438.17590999999,-18.1,-44.38
PB,457018.0,783465,24959199,14,17471439.3,4492655.82,1272919.149,911010.7635,374387.985,249591.99,132283.7547,27455.1189,13228.375469999999,13228.375469999999,-7.28,-36.72
PE,605617.0,1038212,32815256,19,22970679.2,5906746.08,1673578.0559999999,1197756.844,492228.83999999997,328152.56,173920.8568,36096.7816,17392.08568,17392.08568,-8.38,-37.86
PI,1459512.0,2502037,75028992,40,52520294.4,13505218.559999999,3826478.5919999997,2738558.2079999996,1125434.88,750289.92,397653.6576,82531.8912,39765.36576,39765.36576,-6.6,-42.28
RN,553062.0,948109,30509494,10,21356645.799999997,5491708.92,1555984.194,1113596.531,457642.41,305094.94,161700.3182,33560.443400000004,16170.03182,16170.03182,-5.81,-36.59
RO,10500.0,18001,630035,2,441024.5,113406.3,32131.784999999996,22996.2775,9450.525,6300.35,3339.1855,693.0385,333.91855,333.91855,-10.83,-63.34
SP,810485.0,1389412,41077161,25,28754012.7,7393888.9799999995,2094935.211,1499316.3765,616157.4149999999,410771.61,217708.9533,45184.877100000005,21770.89533,21770.89533,-22.19,-48.79
TO,5000.0,8572,222872,1,156010.4,40116.96,11366.472,8134.8279999999995,3343.08,2228.7200000000003,1181.2216,245.15920000000003,118.12216,118.12216,-9.46,-48.26
