ESTADO,POTÊNCIA,N_MOD,PESO_TOTAL,VIDRO,ALUMÍNIO,EVA,SILÍCIO,POLÍMERO,CABOS (Cu e Polimeros),CONDUTOR AL (Interno),CONDUTOR CU (Interno),CHUMBO E ESTANHO,PRATA,SISTEMAS,LATITUDE,LONGITUDE
BA,3047688.0,5979170,165223796.0,70855695.00999999,18220035.86,5162343.495999999,3694618.384,1518336.3199999998,1012224.2100000001,536478.8368,111344.6616,53647.878679999994,53647.878679999994,109648,-13.29,-41.71
CE,1581699.0,3410034,92423049.0,28774946.439999998,7399271.9399999995,2096460.379,1500407.9234999998,616605.995,411070.66,217867.4547,45217.7689,21786.74047,21786.74047,68559,-5.2,-39.53
GO,1088373.0,2887360,72368876.0,291319.51,74910.73,21224.706,15190.229,6242.5599999999995,4161.71,2205.7038000000002,457.79060000000004,220.56738,220.56738,91725,-15.98,-49.86
MG,6788045.0,13271283,397429787.0,140716345.03,36184203.01,10252190.856999999,7337352.2754999995,3015350.255,2010233.5,1065423.7591,221125.68170000002,106542.37590999999,106542.37590999999,259226,-18.1,-44.38
PB,796353.0,1548253,45648749.0,17485921.990000002,4496379.94,1273974.319,911765.9335,374698.325,249798.88999999998,132393.40469999998,27477.8789,13239.345469999998,13239.345469999998,26001,-7.28,-36.72
PE,1335922.0,2427685,74035776.0,22999533.56,5914165.7700000005,1675680.3059999999,1199261.394,492847.14999999997,328564.77,174139.3268,36142.1216,17413.93568,17413.93568,67130,-8.38,-37.86
PI,1881987.0,3714761,105128932.0,52541364.36,13510636.549999999,3828013.692,2739656.8579999995,1125886.38,750590.92,397813.1876,82565.0012,39781.31576,39781.31576,41175,-6.6,-42.28
RN,1057257.0,2294890,64443604.0,21380399.679999996,5497817.06,1557714.8339999998,1114835.121,458151.42,305434.28,161880.16820000001,33597.773400000005,16188.02182,16188.02182,50528,-5.81,-36.59
RO,259681.0,495960,14668945.0,450851.74,115933.3,32847.765,23508.6975,9661.105,6440.740000000001,3413.5955,708.4785,341.35855,341.35855,19190,-10.83,-63.34
SP,4064773.0,9426707,248588031.0,28899270.31,7431240.9399999995,2105518.261,1506890.5265,619270.075,412846.72,218808.7633,45413.13710000001,21880.87533,21880.87533,345590,-22.19,-48.79
TO,323249.0,613418,18152382.0,168561.06,43344.27,12280.872,8789.258,3612.02,2408.0200000000004,1276.2516,264.8792,127.62216,127.62216,30692,-9.46,-48.26
AC,63120.0,112865,3444390.0,2411.07,619.99,175.66,125.72,51.67,34.44,18.26,3.79,1.83,1.83,5029,-8.77,-70.55
AL,258789.0,481056,14495520.0,10146.87,2609.19,739.27,529.09,217.43,144.96,76.83,15.95,7.68,7.68,22586,-9.62,-36.82
AM,142502.0,341676,9228710.0,6460.1,1661.17,470.66,336.85,138.43,92.29,48.91,10.15,4.89,4.89,8526,-3.47,-65.1
AP,35591.0,111766,2604840.0,1823.39,468.87,132.85,95.08,39.07,26.05,13.81,2.87,1.38,1.38,3039,1.41,-51.77
DF,293981.0,871029,20880460.0,14616.32,3758.48,1064.9,762.14,313.21,208.8,110.67,22.97,11.07,11.07,17212,-15.83,-47.86
ES,536734.0,1023021,30605280.0,21423.69,5508.95,1560.87,1117.09,459.08,306.05,162.21,33.67,16.22,16.22,42121,-19.19,-40.34
MA,506333.0,1261540,32797620.000000004,22958.33,5903.57,1672.68,1197.11,491.96,327.98,173.83,36.08,17.38,17.38,40032,-5.42,-45.44
MS,900618.0,1881936,53303940.0,37312.76,9594.71,2718.5,1945.59,799.56,533.04,282.51,58.63,28.25,28.25,80447,-20.51,-54.54
MT,1432569.0,2998010,84533930.0,59173.75,15216.11,4311.23,3085.49,1268.01,845.34,448.03,92.99,44.8,44.8,97198,-12.64,-55.42
PA,721848.0,1774722,46237060.0,32365.94,8322.67,2358.09,1687.65,693.56,462.37,245.06,50.86,24.51,24.51,63006,-3.79,-52.48
PR,2320032.0,4893234,137768320.0,96437.83,24798.3,7026.18,5028.54,2066.52,1377.68,730.17,151.55,73.02,73.02,180987,-24.89,-51.55
RJ,943126.0,2389460,61578850.0,43105.19,11084.19,3140.52,2247.63,923.68,615.79,326.37,67.74,32.64,32.64,103109,-22.25,-42.66
RR,36711.0,87767,2339900.0,1637.93,421.18,119.33,85.41,35.1,23.4,12.4,2.57,1.24,1.24,1987,1.99,-61.33
RS,2502416.0,5433175,150245480.0,105171.84,27044.19,7662.52,5483.96,2253.68,1502.45,796.3,165.27,79.63,79.63,279362,-30.17,-53.5
SC,1330571.0,2615888,76859150.0,53801.4,13834.65,3919.82,2805.36,1152.89,768.59,407.35,84.55,40.74,40.74,81268,-27.45,-50.95
SE,147651.0,294195,8539260.0,5977.48,1537.07,435.5,311.68,128.09,85.39,45.26,9.39,4.53,4.53,11474,-10.57,-37.45
